order_id,customer_id,customer_loyalty_tier,customer_acquisition_channel,customer_signup_date,restaurant_id,restaurant_cuisine,restaurant_city,restaurant_rating,restaurant_avg_prep_time,menu_item_id,menu_item_name,menu_item_category,item_price,quantity,order_timestamp,delivery_timestamp,delivery_duration_actual,delivery_duration_estimated,delivery_fee,tip,total_amount,discount_code,discount_type,discount_value,order_status,weather_temperature,weather_precipitation,is_weekend,is_holiday,event_flag
6495,5949,Bronze,email,2023-08-24,49,Japanese,New York,4.9,18,253,Unit Beverage,Beverage,29.89,1,2023-01-01 19:07:46,2023-01-01 20:02:46,55.0,45,4.07,5.33,39.29,,,0.0,completed,4.8,0.0,True,True,
3792,3479,Silver,email,2024-05-25,195,American,Chicago,3.7,15,1079,Lead Beverage,Beverage,6.37,2,2023-01-01 20:07:25,2023-01-01 20:54:25,47.0,38,4.54,1.61,18.89,,,0.0,completed,7.2,0.0,True,True,
3744,3590,Bronze,referral,2023-05-29,162,Italian,New York,4.3,27,886,Be Pizza,Pizza,22.57,1,2023-01-02 00:41:55,2023-01-02 01:52:55,71.0,54,6.23,4.18,26.75,PROMO-GCOK,free_delivery,6.23,completed,6.4,3.5,False,False,
4851,1724,Silver,referral,2024-12-24,85,American,Los Angeles,4.2,16,448,Call Main Course,Main Course,24.55,1,2023-01-02 00:46:09,2023-01-02 01:20:09,34.0,38,4.74,4.17,33.46,,,0.0,completed,6.8,0.0,False,False,
1120,1259,Silver,email,2024-12-23,72,Chinese,San Diego,4.6,26,373,Level Appetizer,Appetizer,20.48,1,2023-01-02 00:49:19,2023-01-02 01:31:19,42.0,42,2.28,3.41,26.17,,,0.0,completed,8.3,0.0,False,False,
5995,7027,Bronze,referral,2024-09-24,87,Japanese,New York,3.9,22,469,Former Main Course,Main Course,8.98,1,2023-01-02 02:28:44,2023-01-02 03:21:44,53.0,44,6.52,1.92,17.42,,,0.0,completed,7.7,0.0,False,False,
2456,8603,Bronze,referral,2024-10-16,141,Mediterranean,Chicago,4.0,33,760,Fund Appetizer,Appetizer,27.12,1,2023-01-02 03:15:13,2023-01-02 04:11:13,56.0,43,5.19,3.73,36.04,,,0.0,completed,3.5,0.0,False,False,
1130,2231,Bronze,paid_ads,2024-01-10,154,Fast Food,San Diego,3.3,30,833,Thus Dessert,Dessert,9.8,1,2023-01-02 03:26:22,2023-01-02 04:31:22,65.0,47,7.63,1.0,18.43,,,0.0,completed,3.0,11.0,False,False,
3685,7455,Silver,paid_ads,2023-02-11,13,Fast Food,Phoenix,4.3,18,70,Finally Pizza,Pizza,15.29,2,2023-01-02 05:50:12,2023-01-02 06:23:12,33.0,29,5.8,1.52,37.9,,,0.0,completed,7.0,0.0,False,False,
1600,2061,Bronze,social_media,2024-01-05,90,Chinese,San Diego,4.2,29,481,Would Burger,Burger,31.84,1,2023-01-02 06:06:47,2023-01-02 07:00:47,54.0,48,5.19,2.74,39.77,,,0.0,completed,8.4,0.0,False,False,
5652,3899,Bronze,email,2023-11-16,99,Japanese,Phoenix,4.2,34,530,Expert Main Course,Main Course,12.08,1,2023-01-02 07:33:32,2023-01-02 08:36:32,63.0,54,3.76,2.63,18.47,,,0.0,completed,6.7,0.0,False,False,
10229,2614,Silver,social_media,2023-04-29,91,Mediterranean,New York,3.1,17,490,Different Beverage,Beverage,15.11,1,2023-01-02 09:36:05,2023-01-02 10:21:05,45.0,33,3.41,1.27,14.79,PROMO-BZXO,fixed_amount,5.0,completed,7.9,0.0,False,False,
5931,7016,Silver,paid_ads,2024-01-28,94,Japanese,Los Angeles,3.7,10,503,Left Dessert,Dessert,15.38,1,2023-01-02 09:56:47,2023-01-02 10:28:47,32.0,33,3.37,3.79,22.54,,,0.0,completed,6.2,0.0,False,False,
7530,6699,Bronze,email,2024-01-25,184,Fast Food,Phoenix,4.8,31,1009,Edge Sushi,Sushi,25.45,1,2023-01-02 10:17:18,2023-01-02 11:29:18,72.0,53,4.43,3.87,33.75,,,0.0,completed,9.2,0.8,False,False,
10475,1803,Bronze,referral,2023-03-16,22,Mexican,Chicago,4.1,25,117,Expect Pasta,Pasta,10.44,1,2023-01-02 11:20:10,2023-01-02 11:58:10,38.0,35,3.02,2.13,14.02,PROMO-CXEK,percentage,1.57,completed,3.3,0.0,False,False,
4809,678,Bronze,email,2023-04-21,115,American,Chicago,4.7,13,607,Clear Sushi,Sushi,33.64,1,2023-01-02 12:31:00,2023-01-02 13:00:00,29.0,31,7.06,4.15,44.85,,,0.0,completed,8.0,0.0,False,False,
1756,8088,Silver,organic,2024-12-10,168,American,Los Angeles,4.8,19,919,According Pizza,Pizza,19.83,1,2023-01-02 12:36:17,2023-01-02 13:18:17,42.0,31,6.82,3.24,27.89,PROMO-GPTV,fixed_amount,2.0,completed,4.7,0.0,False,False,
8641,4714,Bronze,email,2024-09-10,165,Chinese,San Antonio,4.9,24,904,There Beverage,Beverage,12.85,4,2023-01-02 13:28:03,2023-01-02 14:20:03,52.0,38,6.36,12.72,70.48,,,0.0,completed,1.4,0.0,False,False,
7599,7731,Bronze,social_media,2024-04-26,81,American,Houston,4.8,31,428,Apply Sushi,Sushi,16.93,2,2023-01-02 13:43:07,2023-01-02 14:36:07,53.0,48,2.28,4.23,40.37,,,0.0,completed,4.1,0.0,False,False,
8659,3005,Bronze,organic,2023-07-19,92,Indian,Chicago,3.1,18,494,Worker Pasta,Pasta,24.6,2,2023-01-02 14:02:53,2023-01-02 14:47:53,45.0,41,2.42,3.24,54.86,,,0.0,completed,6.8,0.0,False,False,
1357,8987,Bronze,referral,2023-03-13,11,Fast Food,San Antonio,4.1,13,62,Show Main Course,Main Course,20.35,1,2023-01-02 15:16:46,2023-01-02 15:57:46,41.0,40,5.81,3.31,29.47,,,0.0,completed,9.1,0.0,False,False,
5668,729,Bronze,email,2023-06-06,92,Indian,Chicago,3.1,18,497,Authority Sushi,Sushi,10.99,1,2023-01-02 16:34:43,,,47,6.48,2.53,18.35,PROMO-JZOF,percentage,1.65,cancelled,5.2,0.0,False,False,
3896,9886,Bronze,email,2023-03-24,119,Mediterranean,San Antonio,3.3,34,636,Box Pasta,Pasta,26.96,1,2023-01-02 16:40:51,2023-01-02 17:44:51,64.0,48,2.15,0.12,29.23,,,0.0,completed,3.8,8.6,False,False,
10676,4735,Bronze,organic,2023-12-11,16,Mexican,Phoenix,3.5,18,80,Available Beverage,Beverage,23.17,1,2023-01-02 17:00:21,2023-01-02 17:38:21,38.0,36,3.73,5.75,32.65,,,0.0,completed,7.0,0.0,False,False,
5399,191,Silver,referral,2024-02-07,90,Chinese,San Diego,4.2,29,485,Pretty Sushi,Sushi,26.95,2,2023-01-02 20:22:45,2023-01-02 21:20:45,58.0,56,2.81,7.34,62.05,PROMO-GJKN,fixed_amount,2.0,completed,-0.0,5.9,False,False,
3393,4995,Silver,referral,2024-12-18,189,American,New York,4.5,18,1046,Person Burger,Burger,26.91,1,2023-01-02 22:13:36,2023-01-02 22:50:36,37.0,39,3.38,5.38,32.29,PROMO-FLPF,free_delivery,3.38,completed,5.5,0.0,False,False,
5680,3867,Bronze,social_media,2023-03-29,112,American,San Antonio,3.2,30,595,Rest Pasta,Pasta,18.9,4,2023-01-02 23:50:36,2023-01-03 00:54:36,64.0,41,5.1,2.23,77.83,PROMO-JZNE,free_delivery,5.1,completed,-0.5,1.6,False,False,
4602,9682,Bronze,email,2023-06-27,50,Japanese,Chicago,4.7,19,261,Authority Sushi,Sushi,28.13,1,2023-01-03 02:25:14,2023-01-03 02:53:14,28.0,32,2.65,2.05,32.83,,,0.0,completed,0.9,0.0,False,False,
2578,6040,Bronze,paid_ads,2024-05-11,25,Indian,Los Angeles,3.5,12,129,Drop Dessert,Dessert,14.04,1,2023-01-03 03:24:30,2023-01-03 03:53:30,29.0,25,3.37,3.43,20.84,,,0.0,completed,1.6,0.0,False,False,
7363,6446,Bronze,email,2023-04-05,117,Italian,Chicago,3.8,28,626,Suffer Pizza,Pizza,16.21,1,2023-01-03 05:23:53,2023-01-03 06:24:53,61.0,53,5.38,1.17,17.38,PROMO-HUKW,free_delivery,5.38,completed,6.2,0.0,False,False,
4614,8830,Bronze,paid_ads,2023-08-29,55,American,New York,3.3,23,284,Sell Beverage,Beverage,22.71,3,2023-01-03 05:26:47,2023-01-03 06:16:47,50.0,50,5.04,7.02,80.19,,,0.0,completed,3.8,0.0,False,False,
5732,4046,Bronze,organic,2023-08-08,194,American,San Diego,4.6,32,1071,Raise Sushi,Sushi,12.03,1,2023-01-03 08:27:45,2023-01-03 09:15:45,48.0,46,7.14,0.84,20.01,,,0.0,completed,2.1,0.0,False,False,
3948,6316,Gold,email,2024-07-05,4,American,New York,4.8,29,19,All Appetizer,Appetizer,5.44,1,2023-01-03 09:24:51,2023-01-03 10:19:51,55.0,43,2.89,0.64,8.97,,,0.0,completed,7.3,0.0,False,False,
1087,5625,Gold,referral,2024-02-11,113,Mediterranean,Houston,3.1,20,599,Health Sushi,Sushi,9.47,1,2023-01-03 09:39:48,2023-01-03 10:31:48,52.0,41,4.21,0.38,14.06,,,0.0,completed,2.5,0.0,False,False,
9423,4159,Bronze,social_media,2024-12-13,122,Mexican,Phoenix,4.4,18,654,Agent Beverage,Beverage,8.12,1,2023-01-03 11:28:09,2023-01-03 12:09:09,41.0,34,7.54,1.03,16.69,,,0.0,completed,6.0,2.1,False,False,
6414,4112,Silver,paid_ads,2023-02-02,142,Italian,Houston,3.9,30,763,Letter Pasta,Pasta,28.55,1,2023-01-03 11:53:12,2023-01-03 12:50:12,57.0,50,6.76,2.13,37.44,,,0.0,completed,5.3,0.0,False,False,
2010,6835,Bronze,paid_ads,2023-06-10,155,Mexican,San Diego,3.1,29,838,Majority Pasta,Pasta,11.12,1,2023-01-03 14:50:18,2023-01-03 15:51:18,61.0,48,5.57,2.27,18.96,,,0.0,completed,3.9,0.0,False,False,
4945,9034,Gold,social_media,2023-09-01,187,Chinese,Chicago,3.6,10,1032,Box Appetizer,Appetizer,26.23,1,2023-01-03 15:48:46,2023-01-03 16:07:46,19.0,23,6.6,2.56,35.39,,,0.0,completed,4.8,0.0,False,False,
4424,3952,Bronze,paid_ads,2023-06-02,192,Fast Food,Chicago,3.8,30,1061,Others Pizza,Pizza,6.94,1,2023-01-03 15:54:56,2023-01-03 16:36:56,42.0,45,4.68,1.38,13.0,,,0.0,completed,7.3,0.0,False,False,
9192,5221,Bronze,email,2024-11-17,13,Fast Food,Phoenix,4.3,18,72,Production Burger,Burger,24.46,1,2023-01-03 17:22:48,2023-01-03 18:07:48,45.0,45,7.45,3.92,35.83,,,0.0,completed,0.8,0.0,False,False,
3981,4059,Bronze,referral,2024-03-15,197,Chinese,San Diego,4.7,14,1091,Rather Appetizer,Appetizer,20.38,1,2023-01-03 18:21:53,2023-01-03 19:15:53,54.0,43,5.59,4.66,30.63,,,0.0,completed,10.7,0.0,False,False,
1009,3248,Silver,paid_ads,2023-04-04,122,Mexican,Phoenix,4.4,18,653,Dog Main Course,Main Course,15.23,1,2023-01-03 22:02:18,2023-01-03 22:49:18,47.0,38,6.16,3.09,18.32,PROMO-ODXF,free_delivery,6.16,completed,3.9,0.0,False,False,
8185,1217,Silver,paid_ads,2024-05-03,12,American,San Antonio,4.4,21,64,Not Beverage,Beverage,20.98,1,2023-01-04 00:06:18,2023-01-04 00:57:18,51.0,42,5.9,4.73,31.61,,,0.0,completed,6.1,0.0,False,False,
4063,6093,Bronze,organic,2024-02-16,6,Mediterranean,Phoenix,3.0,34,30,Science Appetizer,Appetizer,6.38,1,2023-01-04 05:46:26,2023-01-04 06:40:26,54.0,54,6.03,0.84,7.22,PROMO-QATV,free_delivery,6.03,completed,1.1,0.0,False,False,
5114,7981,Gold,paid_ads,2024-07-13,104,Indian,Philadelphia,4.3,15,557,Case Appetizer,Appetizer,8.98,1,2023-01-04 05:56:10,2023-01-04 06:38:10,42.0,40,5.84,2.05,16.87,,,0.0,completed,11.8,0.0,False,False,
1291,9091,Bronze,email,2023-11-24,121,Mediterranean,San Diego,4.1,24,646,Magazine Burger,Burger,11.96,1,2023-01-04 07:03:38,2023-01-04 07:56:38,53.0,36,2.43,0.46,14.85,,,0.0,completed,1.4,5.5,False,False,
5713,5587,Bronze,organic,2023-12-20,188,American,San Antonio,3.4,11,1040,How Appetizer,Appetizer,26.11,2,2023-01-04 09:30:41,2023-01-04 09:59:41,29.0,22,5.61,1.1,58.93,,,0.0,completed,5.3,0.3,False,False,
3658,7077,Bronze,referral,2024-08-12,53,Fast Food,Houston,4.7,15,278,Woman Dessert,Dessert,15.33,1,2023-01-04 11:52:50,2023-01-04 12:38:50,46.0,38,6.69,2.02,24.04,,,0.0,completed,8.1,0.5,False,False,
5967,7941,Silver,organic,2023-05-19,53,Fast Food,Houston,4.7,15,277,Development Pizza,Pizza,28.13,2,2023-01-04 12:59:17,2023-01-04 13:29:17,30.0,35,1.99,11.62,69.87,,,0.0,completed,7.6,0.0,False,False,
9175,2223,Silver,referral,2024-08-26,42,American,San Antonio,4.9,12,221,Truth Appetizer,Appetizer,29.21,1,2023-01-04 15:15:32,2023-01-04 15:52:32,37.0,27,7.34,1.55,38.1,,,0.0,completed,7.6,0.0,False,False,
8749,9450,Bronze,social_media,2024-05-22,124,American,Los Angeles,3.6,23,670,Not Pizza,Pizza,34.86,1,2023-01-04 15:17:12,2023-01-04 16:02:12,45.0,35,7.7,8.44,51.0,,,0.0,completed,4.4,9.3,False,False,
3505,7980,Bronze,referral,2023-07-02,190,Japanese,New York,4.6,12,1048,Then Sushi,Sushi,30.57,1,2023-01-04 22:17:40,2023-01-04 22:56:40,39.0,33,2.76,1.42,29.75,PROMO-VJCU,fixed_amount,5.0,completed,11.3,0.0,False,False,
8108,1515,Silver,social_media,2024-06-09,154,Fast Food,San Diego,3.3,30,832,Whose Main Course,Main Course,31.31,1,2023-01-04 22:58:34,2023-01-04 23:56:34,58.0,54,5.2,5.55,37.36,PROMO-SKMA,percentage,4.7,completed,3.2,0.0,False,False,
1249,8609,Bronze,email,2023-10-27,27,Japanese,Phoenix,4.9,34,141,Under Pizza,Pizza,14.35,2,2023-01-04 23:45:05,2023-01-05 00:41:05,56.0,49,2.65,6.57,37.92,,,0.0,completed,5.2,0.0,False,False,
3264,2884,Bronze,social_media,2024-11-02,136,Mexican,San Diego,3.1,19,734,Once Beverage,Beverage,8.03,1,2023-01-05 00:41:37,,,43,3.69,1.94,13.66,,,0.0,cancelled,3.9,4.1,False,False,
7621,3827,Gold,organic,2024-09-07,5,Fast Food,Houston,4.2,25,26,Option Pasta,Pasta,30.87,1,2023-01-05 01:25:48,2023-01-05 02:03:48,38.0,38,5.72,5.1,41.69,,,0.0,completed,3.2,0.0,False,False,
4234,4340,Silver,social_media,2023-05-11,18,Mediterranean,Phoenix,4.5,23,98,Hospital Beverage,Beverage,26.33,2,2023-01-05 11:04:28,2023-01-05 12:03:28,59.0,49,3.81,7.56,60.22,PROMO-ARSN,free_delivery,3.81,completed,8.4,0.0,False,False,
3466,675,Gold,referral,2024-04-20,53,Fast Food,Houston,4.7,15,276,Land Dessert,Dessert,9.64,1,2023-01-05 11:44:15,2023-01-05 12:23:15,39.0,41,4.18,0.22,14.04,,,0.0,completed,8.5,0.0,False,False,
8730,6290,Silver,paid_ads,2024-11-22,108,Indian,Los Angeles,3.6,24,573,Well Pizza,Pizza,8.2,1,2023-01-05 12:18:13,2023-01-05 13:08:13,50.0,41,6.47,0.04,13.48,PROMO-WJYF,percentage,1.23,completed,5.8,0.0,False,False,
3790,103,Silver,referral,2023-11-25,163,Mediterranean,New York,3.9,28,892,Claim Appetizer,Appetizer,10.58,1,2023-01-05 13:31:23,2023-01-05 14:20:23,49.0,43,5.44,2.61,18.63,,,0.0,completed,7.9,0.0,False,False,
6338,3994,Bronze,organic,2023-08-19,82,Indian,Houston,3.7,16,433,Tonight Pizza,Pizza,26.45,1,2023-01-05 15:06:33,2023-01-05 15:48:33,42.0,42,5.1,1.81,33.36,,,0.0,completed,2.3,0.0,False,False,
5488,3709,Bronze,organic,2023-07-18,2,Indian,San Diego,3.2,26,9,Since Main Course,Main Course,25.15,1,2023-01-05 16:48:58,,,46,3.94,0.45,29.54,,,0.0,cancelled,2.6,0.0,False,False,
3459,1496,Bronze,email,2023-07-10,164,Indian,Los Angeles,4.1,14,896,Join Main Course,Main Course,19.89,2,2023-01-05 18:28:56,2023-01-05 19:03:56,35.0,28,6.21,5.36,51.35,,,0.0,completed,-1.9,0.0,False,False,
6148,3393,Bronze,organic,2024-08-29,159,Italian,New York,4.9,23,869,Space Pasta,Pasta,26.23,2,2023-01-05 19:13:29,2023-01-05 20:10:29,57.0,46,4.53,4.1,61.09,,,0.0,completed,-2.7,3.4,False,False,
6263,7538,Bronze,organic,2023-10-03,170,Japanese,San Antonio,3.1,27,933,Such Pizza,Pizza,23.39,1,2023-01-05 22:45:31,,,44,7.38,2.09,32.86,,,0.0,cancelled,9.6,0.0,False,False,
6477,2786,Bronze,social_media,2024-01-26,52,Japanese,New York,3.8,26,272,Evidence Appetizer,Appetizer,11.45,1,2023-01-06 01:45:43,2023-01-06 02:44:43,59.0,52,5.6,1.01,18.06,,,0.0,completed,4.9,0.0,False,False,
3641,5820,Silver,social_media,2024-08-22,6,Mediterranean,Phoenix,3.0,34,32,Kind Dessert,Dessert,11.27,1,2023-01-06 03:09:36,2023-01-06 03:48:36,39.0,44,5.22,0.7,17.19,,,0.0,completed,7.6,0.0,False,False,
1992,3660,Gold,paid_ads,2024-01-13,157,American,Los Angeles,3.1,25,852,Last Pasta,Pasta,31.59,3,2023-01-06 05:51:44,2023-01-06 06:22:44,31.0,35,6.81,22.93,124.51,,,0.0,completed,5.9,0.0,False,False,
8709,4881,Silver,paid_ads,2023-02-13,114,Japanese,San Antonio,4.9,14,605,Pressure Dessert,Dessert,10.87,1,2023-01-06 05:53:27,2023-01-06 06:36:27,43.0,30,4.9,0.72,16.49,,,0.0,completed,7.8,0.0,False,False,
6808,5589,Bronze,email,2024-07-14,3,Mexican,San Antonio,3.3,26,17,Knowledge Dessert,Dessert,24.18,2,2023-01-06 07:51:22,,,55,3.67,6.73,58.76,,,0.0,cancelled,7.2,0.0,False,False,
7195,4803,Silver,paid_ads,2023-10-19,59,Fast Food,San Diego,4.1,18,301,Once Burger,Burger,32.73,1,2023-01-06 08:29:21,2023-01-06 09:12:21,43.0,38,2.92,1.95,37.6,,,0.0,completed,-0.0,0.0,False,False,
2034,4892,Bronze,social_media,2023-06-09,8,Mexican,Houston,4.3,22,42,Collection Burger,Burger,29.65,3,2023-01-06 09:23:22,2023-01-06 10:16:22,53.0,43,5.36,16.94,111.25,,,0.0,completed,8.4,0.0,False,False,
10985,3526,Silver,organic,2024-01-13,10,Chinese,Phoenix,3.3,26,52,Best Dessert,Dessert,5.08,4,2023-01-06 09:52:28,2023-01-06 10:35:28,43.0,47,4.54,1.16,26.02,,,0.0,completed,6.8,0.0,False,False,
1163,3518,Silver,paid_ads,2023-06-24,36,Mexican,Houston,4.4,22,188,Newspaper Pizza,Pizza,28.41,1,2023-01-06 10:01:57,2023-01-06 10:33:57,32.0,36,4.37,4.37,37.15,,,0.0,completed,-1.6,0.0,False,False,
10631,4778,Gold,referral,2023-11-23,28,Chinese,Philadelphia,3.8,29,151,Low Main Course,Main Course,17.27,1,2023-01-06 10:09:46,2023-01-06 11:02:46,53.0,51,4.09,3.6,24.96,,,0.0,completed,6.6,0.0,False,False,
5587,4190,Silver,email,2024-04-24,79,American,New York,4.4,28,409,Same Appetizer,Appetizer,25.28,1,2023-01-06 10:21:43,2023-01-06 11:32:43,71.0,57,6.02,1.72,33.02,,,0.0,completed,-0.2,0.0,False,False,
1146,6934,Silver,referral,2023-10-01,67,Indian,Houston,4.4,25,344,Manage Dessert,Dessert,29.92,1,2023-01-06 14:29:48,2023-01-06 15:13:48,44.0,40,5.1,6.01,41.03,,,0.0,completed,9.3,0.0,False,False,
2597,6138,Gold,social_media,2023-08-06,112,American,San Antonio,3.2,30,591,Among Appetizer,Appetizer,16.2,3,2023-01-06 14:54:39,2023-01-06 15:56:39,62.0,54,5.21,1.12,52.93,PROMO-IFUP,fixed_amount,2.0,completed,7.2,0.0,False,False,
5075,6255,Bronze,organic,2024-12-26,197,Chinese,San Diego,4.7,14,1092,Expect Burger,Burger,6.33,1,2023-01-06 15:47:10,2023-01-06 16:17:10,30.0,27,3.84,0.18,10.35,,,0.0,completed,5.5,3.7,False,False,
7053,1914,Bronze,organic,2024-09-24,156,Chinese,San Antonio,4.3,22,846,Level Pizza,Pizza,33.74,1,2023-01-06 17:03:37,2023-01-06 18:08:37,65.0,48,5.67,3.38,36.04,PROMO-PUDT,percentage,6.75,completed,5.8,0.7,False,False,
4324,7336,Bronze,paid_ads,2024-04-12,164,Indian,Los Angeles,4.1,14,900,Man Sushi,Sushi,9.06,1,2023-01-06 17:04:01,2023-01-06 17:39:01,35.0,38,4.41,0.92,13.48,PROMO-EGJV,percentage,0.91,completed,0.7,0.0,False,False,
5243,1151,Silver,organic,2023-04-18,6,Mediterranean,Phoenix,3.0,34,28,Sense Appetizer,Appetizer,30.26,1,2023-01-06 17:09:58,2023-01-06 18:18:58,69.0,58,6.61,3.91,40.78,,,0.0,completed,6.9,0.0,False,False,
3327,4138,Gold,referral,2023-01-14,190,Japanese,New York,4.6,12,1053,Spring Pizza,Pizza,13.56,2,2023-01-06 17:56:11,2023-01-06 18:33:11,37.0,26,5.17,0.16,32.45,,,0.0,completed,4.1,0.0,False,False,
7037,4137,Bronze,referral,2024-05-25,119,Mediterranean,San Antonio,3.3,34,634,Store Appetizer,Appetizer,21.7,1,2023-01-06 20:36:52,2023-01-06 21:38:52,62.0,53,3.73,0.64,26.07,,,0.0,completed,2.5,0.0,False,False,
10607,7730,Silver,email,2024-07-25,41,Fast Food,Los Angeles,4.9,14,212,Type Main Course,Main Course,24.77,1,2023-01-06 21:07:42,2023-01-06 21:35:42,28.0,32,2.88,0.06,27.71,,,0.0,completed,3.0,0.0,False,False,
5027,1511,Gold,social_media,2023-12-25,128,Italian,San Antonio,4.2,31,688,Least Beverage,Beverage,9.78,1,2023-01-07 00:56:17,2023-01-07 02:00:17,64.0,42,6.19,2.33,18.3,,,0.0,completed,0.9,1.0,True,False,
5314,3916,Bronze,email,2024-04-10,13,Fast Food,Phoenix,4.3,18,72,Production Burger,Burger,24.46,4,2023-01-07 01:16:02,2023-01-07 02:04:02,48.0,34,4.22,7.66,109.72,,,0.0,completed,11.1,0.0,True,False,
2772,6326,Silver,referral,2023-12-01,21,Japanese,Chicago,4.3,24,110,Congress Pizza,Pizza,27.81,1,2023-01-07 02:54:38,2023-01-07 03:53:38,59.0,41,2.38,4.78,34.97,,,0.0,completed,7.6,15.5,True,False,
1094,3253,Bronze,social_media,2023-08-20,44,Mediterranean,New York,3.7,20,232,Color Main Course,Main Course,16.39,4,2023-01-07 07:02:17,2023-01-07 07:47:17,45.0,33,7.48,9.97,73.18,PROMO-UFGB,percentage,9.83,completed,8.3,0.0,True,False,
1915,8936,Bronze,referral,2024-04-26,8,Mexican,Houston,4.3,22,43,Save Pasta,Pasta,13.36,3,2023-01-07 10:09:59,2023-01-07 10:49:59,40.0,32,4.31,7.26,51.65,,,0.0,completed,1.4,0.0,True,False,
4008,3939,Gold,email,2023-05-28,51,American,Philadelphia,3.6,21,265,Car Burger,Burger,12.36,1,2023-01-07 10:51:52,2023-01-07 11:45:52,54.0,31,6.47,2.73,21.56,,,0.0,completed,-1.2,1.9,True,False,
2874,2512,Silver,paid_ads,2023-11-06,9,American,Philadelphia,3.0,28,46,Fall Sushi,Sushi,11.19,3,2023-01-07 12:29:57,2023-01-07 13:27:57,58.0,49,4.74,1.96,40.27,,,0.0,completed,4.3,0.0,True,False,
1926,1074,Silver,email,2023-08-14,45,Indian,San Antonio,3.0,20,238,A Beverage,Beverage,28.39,1,2023-01-07 15:49:03,2023-01-07 16:40:03,51.0,49,7.34,3.02,38.75,,,0.0,completed,4.4,0.0,True,False,
6149,2193,Silver,email,2023-04-08,114,Japanese,San Antonio,4.9,14,601,Opportunity Sushi,Sushi,23.24,3,2023-01-07 15:59:45,2023-01-07 16:47:45,48.0,39,2.16,5.72,77.6,,,0.0,completed,5.7,0.0,True,False,
9880,8208,Bronze,referral,2023-02-10,128,Italian,San Antonio,4.2,31,691,Business Dessert,Dessert,15.8,1,2023-01-07 16:36:35,2023-01-07 17:57:35,81.0,57,3.55,0.33,16.52,PROMO-SEYI,percentage,3.16,completed,11.3,3.3,True,False,
2336,7384,Bronze,paid_ads,2023-10-07,178,Fast Food,New York,3.0,27,976,Look Beverage,Beverage,30.71,1,2023-01-07 18:15:41,2023-01-07 19:19:41,64.0,50,5.26,0.25,36.22,,,0.0,completed,2.4,0.0,True,False,
