CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.67191,,8.14,0.0,0.538,5.813,90.3,4.682,4.0,307.0,21.0,376.88,14.81,
0.21124,12.5,7.87,0.0,0.524,5.631,,6.0821,5.0,311.0,15.2,386.63,29.93,16.5
0.77299,,8.14,0.0,0.538,6.495,94.4,4.4547,4.0,307.0,21.0,387.94,12.8,18.4
,0.0,8.14,0.0,0.538,6.674,87.3,4.239,4.0,307.0,,380.23,,21.0
1.13081,0.0,8.14,0.0,0.538,5.713,94.1,4.233,4.0,307.0,21.0,360.17,22.6,12.7
0.21124,12.5,7.87,0.0,0.524,5.631,100.0,,5.0,311.0,15.2,386.63,29.93,16.5
1.38799,0.0,8.14,0.0,0.538,5.95,82.0,3.99,4.0,307.0,21.0,,27.71,13.2
1.15172,0.0,8.14,0.0,0.538,5.701,95.0,3.7872,4.0,307.0,21.0,358.77,18.35,13.1
1.61282,0.0,8.14,0.0,0.538,6.096,96.9,3.7598,4.0,307.0,21.0,248.31,20.34,
0.06417,0.0,5.96,0.0,0.499,5.933,68.2,3.3603,5.0,279.0,,396.9,9.68,
0.09744,0.0,5.96,0.0,0.499,5.841,61.4,3.3779,5.0,,19.2,377.56,11.41,20.0
0.08014,0.0,,0.0,0.499,5.85,41.5,3.9342,,279.0,19.2,396.9,8.77,21.0
,0.0,5.96,0.0,0.499,,30.2,3.8473,5.0,279.0,19.2,393.43,10.13,24.7
0.02763,75.0,,0.0,0.428,,21.8,5.4011,3.0,252.0,18.3,395.63,4.32,30.8
0.03359,75.0,2.95,0.0,0.428,7.024,15.8,5.4011,3.0,252.0,18.3,395.62,1.98,34.9
0.12744,0.0,6.91,0.0,0.448,6.77,2.9,5.7209,3.0,233.0,17.9,385.41,4.84,26.6
0.1415,0.0,6.91,0.0,0.448,6.169,6.6,5.7209,3.0,233.0,17.9,383.37,5.81,25.3
0.15936,0.0,,0.0,,6.211,6.5,5.7209,3.0,233.0,17.9,394.46,7.44,24.7
0.12269,0.0,6.91,0.0,0.448,6.069,40.0,5.7209,3.0,233.0,17.9,389.39,9.55,21.2
0.17142,0.0,6.91,0.0,0.448,5.682,33.8,5.1004,3.0,,17.9,396.9,10.21,
0.18836,0.0,6.91,0.0,0.448,5.786,33.3,5.1004,3.0,233.0,17.9,396.9,14.15,20.0
0.22927,0.0,6.91,0.0,0.448,6.03,85.5,5.6894,3.0,233.0,17.9,392.74,18.8,16.6
0.25387,0.0,6.91,0.0,0.448,5.399,95.3,,3.0,233.0,17.9,396.9,30.81,14.4
0.21977,0.0,6.91,0.0,0.448,5.602,62.0,6.0877,3.0,,17.9,396.9,16.2,19.4
0.08873,21.0,5.64,0.0,0.439,,,6.8147,4.0,243.0,16.8,395.56,13.45,19.7
0.04337,21.0,5.64,0.0,0.439,6.115,63.0,6.8147,4.0,243.0,16.8,,9.43,20.5
0.0536,21.0,5.64,,0.439,6.511,21.1,,4.0,,16.8,396.9,5.28,25.0
0.04981,21.0,5.64,,0.439,5.998,21.4,6.8147,4.0,243.0,,396.9,8.43,23.4
0.0136,,4.0,0.0,0.41,5.888,47.6,7.3197,,469.0,21.1,396.9,14.8,
0.01311,,1.22,0.0,0.403,7.249,21.9,8.6966,5.0,226.0,17.9,395.93,4.81,35.4
0.02055,85.0,0.74,0.0,0.41,6.383,35.7,9.1876,,313.0,17.3,396.9,,24.7
0.01432,100.0,1.32,0.0,0.411,6.816,40.5,8.3248,5.0,256.0,15.1,392.9,3.95,31.6
0.15445,25.0,5.13,0.0,0.453,6.145,29.2,7.8148,8.0,284.0,19.7,390.68,6.86,23.3
0.10328,25.0,5.13,0.0,0.453,5.927,47.2,6.932,8.0,284.0,,396.9,9.22,19.6
0.14932,25.0,5.13,0.0,,5.741,66.2,7.2254,8.0,284.0,19.7,395.11,13.15,18.7
0.17171,,5.13,0.0,0.453,5.966,93.4,6.8185,8.0,284.0,19.7,378.08,14.44,16.0
,25.0,5.13,0.0,0.453,6.456,67.8,7.2255,,,19.7,,6.73,22.2
0.1265,25.0,,0.0,0.453,6.762,43.4,7.9809,8.0,284.0,19.7,395.58,9.5,25.0
0.01951,17.5,1.38,,0.4161,7.104,59.5,9.2229,3.0,216.0,18.6,393.24,8.05,33.0
0.03584,80.0,,0.0,0.398,,,,4.0,337.0,,396.9,4.67,23.5
0.04379,80.0,3.37,0.0,0.398,5.787,31.1,6.6115,4.0,,16.1,396.9,10.24,19.4
0.05789,12.5,6.07,0.0,,5.878,21.4,6.498,4.0,345.0,18.9,396.21,8.1,22.0
0.13554,12.5,6.07,0.0,0.409,5.594,36.8,6.498,4.0,345.0,18.9,396.9,13.09,17.4
0.12816,12.5,6.07,0.0,0.409,5.885,33.0,6.498,4.0,345.0,18.9,396.9,8.79,
0.08826,0.0,10.81,0.0,0.413,6.417,6.6,5.2873,4.0,305.0,19.2,383.73,6.72,24.2
0.15876,0.0,10.81,0.0,0.413,5.961,17.5,5.2873,4.0,305.0,19.2,376.94,9.88,21.7
,0.0,10.81,,0.413,6.065,7.8,,4.0,,19.2,390.91,5.52,22.8
0.19539,0.0,10.81,0.0,0.413,6.245,6.2,5.2873,4.0,305.0,19.2,377.17,7.54,23.4
0.07896,0.0,12.83,0.0,0.437,6.273,6.0,4.2515,5.0,,18.7,394.92,6.78,24.1
0.09512,,12.83,,0.437,6.286,45.0,4.5026,5.0,398.0,18.7,383.23,8.94,21.4
0.10153,0.0,12.83,0.0,0.437,6.279,74.5,4.0522,5.0,398.0,18.7,,11.97,20.0
0.08707,0.0,12.83,,0.437,6.14,45.8,4.0905,5.0,398.0,18.7,386.96,10.27,20.8
0.05646,0.0,12.83,0.0,0.437,6.232,53.7,5.0141,5.0,398.0,18.7,386.4,12.34,21.2
0.08387,0.0,12.83,0.0,0.437,5.874,36.6,,5.0,398.0,18.7,396.06,9.1,20.3
0.04113,25.0,4.86,0.0,0.426,6.727,33.5,5.4007,4.0,281.0,19.0,396.9,5.29,28.0
0.04462,25.0,4.86,0.0,0.426,6.619,70.4,5.4007,4.0,281.0,,395.63,7.22,23.9
,25.0,4.86,,0.426,6.302,32.2,5.4007,4.0,281.0,19.0,396.9,6.72,
0.03551,25.0,4.86,0.0,0.426,6.167,46.7,5.4007,4.0,281.0,19.0,390.64,,22.9
0.05059,,4.49,0.0,0.449,6.389,,4.7794,3.0,247.0,18.5,396.9,9.62,23.9
0.05735,0.0,4.49,0.0,0.449,6.63,56.1,4.4377,3.0,247.0,18.5,392.3,6.53,26.6
,0.0,4.49,0.0,0.449,6.015,45.1,4.4272,3.0,247.0,18.5,395.99,12.86,22.5
0.07151,0.0,4.49,0.0,,6.121,56.8,3.7476,3.0,247.0,18.5,395.15,,22.2
0.0566,0.0,3.41,0.0,0.489,7.007,,,2.0,270.0,17.8,,5.5,23.6
,0.0,3.41,0.0,0.489,7.079,63.1,3.4145,2.0,270.0,17.8,396.06,5.7,28.7
0.04684,,3.41,0.0,0.489,6.417,66.1,3.0923,2.0,270.0,17.8,392.18,8.81,22.6
0.03932,0.0,,,0.489,6.405,,3.0921,2.0,270.0,17.8,393.55,8.2,22.0
0.04203,28.0,15.04,,0.464,6.442,53.6,3.6659,4.0,270.0,18.2,395.01,8.16,22.9
0.02875,28.0,15.04,0.0,0.464,6.211,28.9,3.6659,,270.0,18.2,396.33,6.21,25.0
0.04294,28.0,15.04,0.0,,6.249,77.3,3.615,4.0,270.0,18.2,396.9,10.59,
,0.0,2.89,0.0,0.445,6.625,57.8,,2.0,276.0,18.0,357.98,6.65,28.4
0.11504,0.0,,0.0,0.445,6.163,69.6,3.4952,2.0,276.0,18.0,391.83,,21.4
0.12083,0.0,2.89,0.0,0.445,8.069,76.0,3.4952,2.0,276.0,18.0,396.9,4.21,38.7
0.08187,0.0,,0.0,0.445,7.82,36.9,3.4952,2.0,276.0,18.0,393.53,3.57,43.8
0.0686,0.0,2.89,0.0,0.445,7.416,62.5,3.4952,2.0,276.0,,396.9,,33.2
